作品名称,简介
《灵与肉》,《灵与肉》是张贤亮所著短篇小说，1981年收入同名小说集中。是张贤亮的代表作之一。其中的人物许灵均、秀芝为广大读者耳熟能详。
《瑰宝》,《瑰宝》故事背景放置在1940年代末的中国香港，那里是各色观望人群的“避难”岛。在这里，刚从英国完成学业、归途中因战乱滞留香港的年轻的女医生韩素音，在邂逅英国记者马克？艾略特后，两人开始了一场一年一个月零几天的爱情故事。然而在种族、国界、文化差异的背景下，这桩看似浪漫幸福的异域爱情，却不得不以悲剧结束。
《无鸟的夏天》,《无鸟的夏天》 ，作者：韩素音，《无鸟的夏天》是韩素音自传的第三部，记述了1938-1948年作者的个人生活、交往史，其间穿插着广阔的社会历史风云。作为中国第一代庚款留学归来的铁路工程师之女，比利时前国防大臣的外甥女，四川美丰银行总经理的侄女，中国驻英武官的妻子，燕京大学的学生，获得庚款留学资格的中国学生，韩素音及其家族有机会与冯玉祥、蒋介石、戴笠、刘湘、李颉人、龚澎、周恩来、毛泽东、冯亦代、叶君健、季羡林等各级各类人士交往，其复杂身世和传奇经历使其自传完全超越了一般人自我表现的范畴，而是具有深刻的历史价值、广阔的文化视阈和深厚的民族内蕴。跨越欧亚两种文化的写作背景使她的叙述语言既具备一种试图同时融入两种文化之中的焦虑和冲动，也具备一种游离于所叙述对象之外的冷静。
《再生凤凰》,《再生凤凰》是1991年6月中共中央党校出版社出版的图书，作者是韩素音。
《等到早晨来临》,《等到早晨来临》是1989年北方妇女儿童出版社出版的图书，作者是韩素音。
《文化论》,《文化论》的作者是马凌诺斯基，属于华夏出版社出版
《江村经济》,《江村经济》是2001年3月商务印书馆出版发行的图书，作者是费孝通。
《乡土中国》,《乡土中国》是当代社会学家费孝通创作的社会学著作，首次出版于1948年。
《0档案》,《0档案：长诗七部与便条集》作者于坚是首届“华语文学传媒大奖·2002年度诗人”的获得者。他在诗歌界的地位和影响力已经毋庸置疑。2004年，于坚推出了他迄今为止最全面的一部作品集——《于坚集》。
《陆犯焉识》,《陆犯焉识》严歌苓创作的长篇小说，后由张艺谋导演改编成电影《归来》。
《金陵十三钗》,《金陵十三钗》是作家严歌苓著中篇小说。
《小姨多鹤》,严歌苓所作历史情感小说，原名《爱在冬季》后改为《小姨多鹤》，曾荣膺“当代”长篇小说五年最佳奖、“中山杯”华侨文学奖。讲述一个中国女人和一个日本女人在战争的硝烟中走进同一个屋檐，同一个男人，在特殊年代衍生出的畸形爱恋。后被改编成同名电视剧，由孙俪主演。
《寄居者》,《寄居者》是严歌苓所著的一本小说。
《铁梨花》,严歌苓的小说，总是逃离不了动荡的时局，《铁梨花》也不例外，它在手背上上演一场恩怨纠葛，在手心里却攥着一段儿女情长，在中国这个特殊历史时期，《铁梨花》上演了一段鬼吹灯式的女子传奇，其中，有爱情、友情、亲情，也有宅门、江湖、家国。原著作品打破了剧本大团圆式的结局，还原给读者不刻意的温情。此外，最令人回味无穷的，是这个故事你看得到开头，却猜不透结局。
《那些年，我们一起追的女孩》,《那些年，我们一起追的女孩》是当家作家九把刀创作的一部自传体小说，于2006年在中国台湾首次出版，2007年由花山文艺出版社在中国内地首次出版。
《功夫》,《功夫》是2004年11月1日由华艺出版社出版的青春奇幻小说，作者是九把刀。该书是一部壮阔有奇特的武术史，讲述了国中生惩恶扬善和解开了师傅身上谜团的故事。
《少林寺第八铜人》,《少林寺第八铜人 》是 2005年由新世界出版社出版的一部武侠小说，作者是九把刀 。主要讲述了一个环抱英雄梦的乡下小子，在酒肉声色的少林寺担任籍籍无名的NO.8把关人，完成他的英雄梦的故事。
《都市恐怖病系列》,《大哥大》是网络作家九把刀的都市恐怖系列2号的其中一个故事，讲述了一个发生在患有手机依赖症的女孩身上极度恐怖的故事。
《大墙下的红玉兰》,《大墙下的红玉兰》，刊于《收获》1979年第2期，是中国当代作家从维熙的代表作品。在新时期文学发展史上，它有着十分重要的地位，这部壮美的悲剧作品以其震撼人心的艺术真实，以其突破题材禁区的勇敢，开辟了新时期文学创作一个新的领域，并成为新时期中篇小说崛起的开端。
《共和国告急》,《共和国告急》是新世界出版社于2004年5月1日出版的书籍，作者是何建明。
《落泪是金》,《落泪是金》是2009年9月1日作家出版社出版的图书，作者是何建明。
《国家行动》,国家行动移民返乡，雾江大桥护坡工程崩塌，问题不断，是非不断，世界级难题考验中国新一代的共产党人！三峡工程规划移民113万，这是中国现代发展史上的重大事件，正面直击世界性难题。
《部长与国家》,《何建明作品精选本：部长与国家》是2012年10月1日新世界出版社出版的图书，作者是何建明。
《南南和胡子伯伯》,严文井童话描写了小学生唐小西因贪玩而总把功课推到“下次”，灰老鼠乘机把他引入永远到不了“下次”的“下次开船港”。在这个没有时间、一切都静止着的地方，唐小西终于认识到“时间”的意义。他逃出“下次开船港”，乘“这次”就开的帆船，回到了妈妈身边。
《丁丁的一次奇怪旅行》,中国儿童文学名著：《丁丁的一次奇怪旅行》
《下次开船港》,《下次开船港》是作家严文井的一部寓言作品，作品讲述了主人公唐小西是个老“玩儿不够”的小学生，总是把功课留到“下次”再做，结果气跑了时间小人，又在灰老鼠的教唆下进入“下次开船港”。这部童话寓意深刻，内涵丰富。它通过富有神奇色彩的幻想故事，告诉小读者：懒惰就是时间的停滞，生命的浪费。
《画梦录》,《画梦录》是2000年人民文学出版社出版的图书，作者是何其芳。
《生活是多么广阔》,《生活是多么广阔》是现代诗人何其芳创作的一首新诗。此诗主要是启发年轻人去发掘人生的宝藏，并勉励他们将寻常的生活与伟大的目标结合起来，以坚实的劳动去接近美好的未来，表现了诗人在新的理想照耀下对生活、对人生意义的全新的理解和感受。全诗格调明朗开阔，不注重押韵，以朴素流利的口语形成节奏，富有朝气，迸射出对新生活热切希望的火花，有力地传达了热烈丰富的内在希望，令人感到真切。
《仓央嘉措情歌》,《仓央嘉措情歌》是后人从第六世达赖喇嘛仓央嘉措创作的诗歌中，选出六十六首代表作所编纂而成。《仓央嘉措情歌》多取比兴，直抒胸怀，自然流畅，通俗易懂，为藏族诗歌创作开拓了新的诗风。它不仅在西藏文学史上享有盛誉，而且在世界诗坛上也声誉大振。
《十诫诗》,原《十诫诗》是六世达赖喇嘛仓央嘉措的一首情诗。现《十诫诗》是网络读者皎月清风和白衣悠蓝在评文《执手相看魂欲销__读;步步惊心;有感》中加续的。
《蓝血人》,日本最有前途的女滑雪选手草田芳子，忽然自山坡上跌下，被卫斯理救了她。她声称意外是由于她看到幻象：一个男子的手背在树枝上擦伤了，而流出的血竟是蓝色的。    草田芳子的经历，勾起了卫斯理遥远的回忆。他在大学时，看见他的同学方天溜冰受伤，蓝色的血从他大腿的伤口涌出。不久，卫斯理竟然有自杀的念头，并拿起冰鞋，将冰刀的刀尖，对准了自己的脑门，用力砸了下去……    这是卫斯理第一次遇到外星人的故事。卫斯理虽差点死在方天手上，但仍全力协助他返回土星。他们除了要面对日本黑社会“月神会”及秘密集团“七君子党”外，还要力敌从土星来的无形飞魔。
《六指琴魔》,《六指琴魔》倪匡创作的武侠小说。
《男人地带》,《男人地带 》是1999年由花城出版社出版的图书，作者是伊始。
《死神首曲》,《死神首曲》，是当代世界出版社2005年出版的图书。
《面包树上的女人》,《面包树上的女人》是一本2011年由南海出版公司出版的图书，在2012年由北京十月文艺出版社再版，作者是张小娴。主要讲述三个好朋友，从情窦初开到经历种种情感路上的困苦，各自寻找爱情终点的故事。
《荷包里的单人床》,《荷包里的单人床》是是张小娴在一九九七年五月完成的言情小说主要讲述了女主角苏盈苦苦地暗恋着秦云生的故事。
《萍踪侠影录》,《萍踪侠影录》是梁羽生武侠小说的扛鼎之作，亦是梁羽生本人最满意的作品。
《女帝奇英传》,《女帝奇英传》是新派武侠小说开山祖师梁羽生的代表作之一，连载时书名为《唐宫恩怨录》，早期在台湾出版时改名为《大唐碧血录》。
《云海玉弓缘》,《云海玉弓缘》是连载于新晚报·天方夜谭的武侠小说，作者是梁羽生。主要讲述了清朝中期，江湖浪子金世遗的传奇经历和与厉胜男、谷之华之间的爱恨情仇故事。是梁氏武侠天山系列最出名的两部小说之一（故事发生在清朝中期。主要是厉胜男向魔头孟神通复仇并借此成为另一个“女魔头”的故事。
《七剑下天山》,《七剑下天山》为梁羽生的武侠小说代表作之一。于1956年首次在《大公报》上开始连载。
《白发魔女传》,《白发魔女传》是作家梁羽生的作品。1957年8月5—1958年9月8日发表。
《小李飞刀》,《小李飞刀》是古龙武侠小说的代表作品之一，“小李飞刀”系列情节曲折动人，艺术成就很高，给读者留下了丰富的艺术典型。
《楚留香传奇》,《楚留香传奇》为著名武侠小说家古龙创作的武侠小说。该作主要讲述了以楚留香为主角的，演绎江湖各种爱恨情仇的故事。
《陆小凤传奇》,《陆小凤传奇》是古龙写的武侠小说。
《绝代双骄》,《绝代双骄》是古龙在1966年至1969年发表的武侠小说。该书是古龙唯一一本亲自重新修订的作品，也是古龙单个故事里篇幅字数最长的武侠小说，可见古龙对这部作品的喜爱程度。
《英雄无泪》,《英雄无泪》是古龙晚期创作的武侠小说，该小说叙述了发生在两大古城的两大帮派间的铁血故事。主要人物有高渐飞、卓东来、司马超群、朱猛。
《大旗英雄传》,《大旗英雄传》又名《铁血大旗》，是古龙一部跨时代的作品，也是使古龙名声大震的作品，此书写于1965年。
《萧十一郎》,《萧十一郎》是新派武侠大师古龙先生创作巅峰期的优秀作品，是先有剧本后有小说的一部小说。
《边城浪子》,《边城浪子》是著名武侠作家古龙的一部杰出小说，“小李飞刀”系列的第二部，全书于1972年在杂志上连载，共计46回。后改编为电影及电视剧。
《寻秦记》,《寻秦记》为香港著名武侠宗师黄易的代表作之一，也被认为是历史穿越小说的鼻祖。全书叙事为第三人称，共二十五卷。这本小说叙事结构宏大，人物塑造丰满而深具魅力；并且剧情跌宕起伏、一波三折，堪称是新武侠小说中的佳作。《寻秦记》的横空出世对之后的穿越小说的发展产生了深远影响，此剧后被香港TVB于改编成同名电视剧《寻秦记》并于二零零一年推出。在同名电视剧推出并大受欢迎后，其后又衍生出网络游戏、漫画等同名作品。
《边荒传说》,《边荒传说》是2006年在华文出版社出版的小说，该书作者是黄易。小说讲述了两晋南北朝，五胡乱华之际，在淮水和泗水之间，一大片纵横数百里、布满废墟荒村、仿如鬼域的荒弃土地发生的故事。
《云梦城之谜》,《云梦城之谜》是黄易2006年全新长篇小说，也是他第一次全新作品在时报出版。实际总计40万字。《云梦城之谜》带你穿梭明朝弄臣历史，情节媲美《寻秦记》，江湖人物与朝廷权势绵密勾织，耐人寻味更胜《大唐双龙传》，华人武侠小说年度大作，不可错过。
《封神记》,《封神记》是作者黄易向还珠楼主的《蜀山剑侠传》致敬之作。
《性史》,《性史》是张竞生在1926年出版的一部性学著作，原名《性史第一集》，收录了真实的性经历，投稿者皆为大学生，他们所描述的内容，有懵懂的性启蒙、青春期的冲动与自慰的心情；情节上则有偷情、偷窥、嫖妓等等，相当真实的反映出当时的性观念。
《美的人生观》,《美的人生观》是2009年10月1日生活.读书.新知三联书店出版社出版的图书，作者是张竞生、张培忠。本书主要讲述美的人生观在物质生活与精神生活的作用。
《女生日记》,《女生日记》是作家杨红樱创作的长篇小说，首次出版于2000年8月。
《男生日记》,《男生日记》是作家杨红樱创作的长篇小说，于2002年1月首度出版。
《淘气包马小跳系列》,《淘气包马小跳》是杨红樱创作的儿童文学系列小说，于2003年7月首次开始出版，截止到2018年，该系列已有26本。
《我与地坛》,《我与地坛》是一篇长篇哲思抒情散文，中国当代作家史铁生著。这部作品是史铁生文学作品中，充满哲思又极为人性化的代表作之一。其前第一段和第二段被纳入人民教育出版社的高一教材中。是作者十五年来摇着轮椅在地坛思索的结晶。散文中饱含作者对人生的种种感悟，对亲情的深情讴歌。地坛只是一个载体，而文章的本质却是一个绝望的人寻求希望的过程，以及对母亲的思念。
《务虚笔记》,《务虚笔记》是轮椅上的史铁生的首部长篇小说，发表于1996年《收获》杂志上，同时也是他半自传式的作品。由二十二个段落合成，叙述了上世纪50年代以来的社会嬗变带给残疾人C、画家Z、女教师O、诗人L、医生F、女导演N等一代人的影响。
《病隙碎笔》,《病隙碎笔》 是2008年在人民文学出版社出版的长篇哲思抒情散文随笔集，作者是史铁生。
《褐色鸟群》,《褐色鸟群》是1989年北京师范大学出版社出版的图书，作者是格非。它是一篇闪耀着博尔赫斯式的诡谲与自我指涉色彩的典型小说。其新颖的创作手法，对心理梦境般的描写中，对人类自身竭力隐藏的本性也有着十分透彻的分析。
《春尽江南》,《春尽江南》是作家格非《江南三部曲》中的第三部长篇小说。小说《春尽江南》用发生在一年间的故事，串起20多年来中国人精神世界和社会生活的内在变迁，有一种博大的悲悯情怀。诗人与律师，婚姻与房子，种种平民故事把生活悲情毫不吝惜地展示在读者面前。作家面对这样一个纷繁复杂的时代，写出了生活于其中的每一个个体的无奈与悲伤，读者从他的文字气息中都能嗅出忧郁的诗的味道。
《月兰》,《月兰》是1981年由广东人民出版社出版的图书，该书作者是韩少功。
《马桥词典》,《马桥词典》，是中国作家韩少功1996年出版的一部小说，按照词典的形式，收录了一个虚构的湖南村庄马桥镇的115个词条，这些词汇部分也是作者所虚构。《马桥词典》是对乡村生活的真实描写，这在中国的农村非常普遍。《马桥词典》透视了一个民族生存挣扎的真实情状，挖掘了民族苦难的历史根源，同时展示了中国传统文化的另一面，可以说是为我们提供了认识农村的又一个途径。
《山南水北》,《山南水北》是2008年作家出版社出版的图书，作者是韩少功。
《日夜书》,《日夜书》是2013年上  海文艺出版社出版的图书。该书讲述了知青时代下乡的青年们，在一无所知的环境时发生的恩怨纠葛。通过对当时工人，农民，官员等角色的描写折射出时代的变迁。
《蔷薇岛屿》,《蔷薇岛屿》是2002年08月作家出版社出版的图书，作者是安妮宝贝。
《清醒纪》,《清醒纪》是安妮宝贝最新创作的一部小说散文集。作者以城市为核心，将小说和散文糅合在一起，展示了一个时空错落、纷杂缤纷的世界，对时间与人、孤独与爱、隐秘与盛大等生命主题进行了深入和尖锐的探讨。
《莲花》,《莲花》是作家安妮宝贝创作的长篇小说，于2006年3月首度出版。
《春宴》,《春宴》是作家安妮宝贝创作的长篇小说，于2011年8月首度出版。
《得未曾有》,《得未曾有》是2014年北京十月文艺出版社出版的图书，作者是庆山。本书记录了作者在长途旅行中与四个陌生人的相会之后获得的领悟，是安妮宝贝改笔名“庆山”后首次发表的最新散文集。
《被窝是青春的坟墓》,《被窝是青春的坟墓》是作家七堇年创作的散文小说集，首次出版于2007年11月。
《少年残像》,《少年残像》是七堇年所著中篇小说，于2008年上市，属于《最小说》“POOKⅡ”书系之一。2013年4月《被窝是青春的坟墓》新版上市，其中收录了绝版中篇《少年残像》。
《大地之灯》,《大地之灯》是作家七堇年创作的首部长篇小说，首次出版于2007年1月。
《澜本嫁衣》,《澜本嫁衣》是作家七堇年创作的长篇小说，首次出版于2008年12月。
《平生欢》,《平生欢》是作家七堇年创作的长篇小说，首发于《收获》长篇专号2013秋冬卷，并于2013年11月首次出版。
《夏》,张抗抗，女，1950年7月3日生，浙江杭州市人，1966年杭州市第一中学初中毕业。1969年赴北大荒农场上山下乡，在农场劳动、工作8年。1977年考入黑龙江省艺术学校编剧专业，1979年调入黑龙江省作家协会，从事专业文学创作至今。现为一级作家、黑龙江省作家协会名誉主席，第七、八届中国作家协会副主席，中国文字著作权保护协会副会长、国际笔会中国笔会中心副会长，第十届、十一届、十二届全国政协委员。2009年被聘为国务院参事。
《北极光》,《北极光》是2006年人民文学出版社出版的图书，作者是张抗抗。
《隐形伴侣》,《隐形伴侣》初版于1986年，讲述了两个青年男女，在北大荒恋爱、结婚又离婚的故事。尝试了有关潜意识、无意识、梦境、幻觉、隐喻、心理活动等多种写作方法，在我国创作之路上，具有里程碑的意义。女主人公曾把自己关于真诚和正义的理想，寄予自己的恋人。但婚后的现实使她在极度的痛苦与迷惘中，对以往奉若神明的“真善美”和人性本质发出了诘问，终于认识到每一个人的体内都有另一个终身无法摆脱、令人恐惧和震颤的“隐形伴侣”。
《赤彤丹朱》,《赤彤丹朱》是1995年人民文学出版社出版的图书，作者是张抗抗。
《中国当代文学主潮》,《中国当代文学主潮》是2009年北京大学出版社出版的图书，作者是陈晓明。
《北妹》,书名：《北妹》
《月光落在左手上》,本书从余秀华近年创作的2000首诗歌中精选100余首，她的永恒的主题包含爱情、亲情、生活的困难与感悟，生活的瞬间的意义等感动。她说：“我希望我写出的诗歌只是余秀华的，而不是脑瘫者余秀华，或者农民余秀华的。”她说，诗歌以赤子的姿势到来，不过是一个人摇摇晃晃地在摇摇晃晃的人间走动的时候，它充当了一根拐杖。“诗歌一直在清洁我，悲悯我”。
《摇摇晃晃的人间》,《摇摇晃晃的人间》是农村脑瘫女诗人余秀华的首部个人诗集，共收录其精选作品100余首，内容始终围绕爱情、亲情、生活感悟和对外面世界自由的向往。余秀华是一个普通的农村妇女，又是一名脑瘫患者，但这一切似乎与她的诗人角色毫不违和，她以为“就是当心灵发出呼唤的时候，它以赤子的姿势到来，不过是一个人摇摇晃晃地在摇摇晃晃的人间走动的时候，它充当了一根拐杖。”
《我们爱过又忘记》,《我们爱过又忘记》是新星出版社于2016年5月出版的诗人余秀华的诗集。
《无端欢喜》,《无端欢喜》是诗人余秀华2018年6月出版的散文集，收录了她近些年创作的四十余篇散文。
《戈麦诗全编》,《戈麦诗全编》是1999年上海三联书店出版的图书，作者是戈麦。本书收入戈麦现存全部诗作，计270首，并收入译诗15首。
《文学的维度》,《文学的维度》是由三联书店上海分店出版编著的实体书。每一个体成为社会成员的必要条件之一是，纳入这一社会的语言体系。语言体系是凝聚一个社会的基本网络。对于个体而言，语言是一个神秘的符号之网。
《叩访感觉》,《叩访感觉》是2004年1月1日由上海东方出版社出版的图书，作者是南帆。本书主要收录了文学评论家南帆对“人”自身进行深入省察之后写下的专题性系列散文。
《黑猫不睡》,《黑猫不睡》是张悦然的一篇短篇小说，曾入选全国高中生优秀作文。该小说讲述的是一个关于人性和爱情的悲伤故事。
《誓鸟》,故事发生在大航海时代的宏大历史背景下，美丽的中国少女春迟远下南洋，海啸夺走了她的记忆，她在大海里、岛屿上颠沛流离，被欺侮、被抛弃，饱受生育、病痛、牢狱之苦。她为了寻找自己的过去，甘愿穷尽一生。 书中人物包含海盗、歌女、宦官、部族首领、西洋牧师，他们的命运在南洋魔幻旖旎的风光里交汇。张悦然延续她华丽、残忍的笔触，增添了魔幻的色彩，书写了一部慑人心魄的悲剧。
《台北人》,《台北人》是1971年集结数篇60年代白先勇创作的，并于《现代文学》发表的14篇短篇小说而出版的单行本。入选20世纪中文小说100强，是一部深具复杂性的短篇小说集，描写了台湾社会各阶层人物在新旧时代交替中的人生转变，具有历史兴衰和人世沧桑感。不但小说之幅面广，使读者看到社会之“众生相”，更重要的，由于主题命意之一再重复，与互相陪衬辅佐，使读者能更进一步深入了解作品之含义，并得以一窥隐藏在作品内的作者之人生观与宇宙观。
《游园惊梦》,《游园惊梦》是花城出版社出版的图书，作者是白先勇。小说讲述了主人公蓝田玉由一位昆曲艺人一跃成为钱将军夫人，后来成为一位落魄夫人的故事。
《纽约客》,《纽约客》是作家白先勇的小说系列，收录了作家不同时期的小说，以留学生群体作为描写对象，体现了作家的创作立场，是经历了一个从20世纪的中国立场，到21世纪的世界主义的变化过程。
《青春版牡丹亭》,《圆梦》一书，收集了八大名校青年学生对青春版《社丹亭》观看后最直接的反应、最纯真的心声，以及学者专家们极具深度的研讨论文。当然，这本书也记载了这两年来，青春版《牡丹亭》巡演后，原创人员的一些反思，作为总结。《圆梦》还收集多幅精美剧照，这些剧照都是摄影家许培鸿的杰作，是从一万多张挑选出来的。许培鸿自青春饭《牡丹亭》排演以来，一直跟拍，为演出全程做了相当完整的影像纪录。他了解戏，也了解演员，所以他能在刹那间捕捉住戏剧最精彩的镜头、演员最优美的姿态表情。 《牡丹亭》是明代大剧作家汤显祖的扛鼎之作，是传奇中的国色天香，花中之后，架构恢宏，剧情曲折，戏文唱词字字珠玑，美不胜收。
《孽子》,《孽子》是台湾当代中文文学作家白先勇唯一的长篇小说创作，全书共二十多万字。
《蓦然回首》,《蓦然回首》是1999年10月1日由文汇出版社出版的图书，作者是白先勇。该书是白先勇散文集，其中包括，第一辑散文，第二辑文论，第三辑说戏，附录共三十篇。
《彩色的生活》,《彩色的生活》是牛汉撰诗集，收三十六首。
《尘埃落定》,《尘埃落定》是藏族作家阿来的一部长篇小说，首次出版于1998年。
《空山》,这部叫《空山》的6卷本长篇描写了上个世纪50年代末期到90年代初，发生在一个叫机村的藏族村庄里的6个故事。小说的结构颇为玄妙，虽然6个故事的发生地都是一样，出现的人物也大致相同，但每个人物在不同故事中所处的位置不同。
《格萨尔王》,阿来，藏族，1959年出生于四川西北部阿坝藏区的马尔康县，毕业于马尔康师范学院。主要作品有诗集《棱磨河》，小说集《旧年的血迹》、《月光下的银匠》，长篇散文《大地的阶梯》，长篇小说《尘埃落定》、《空山》。长篇小说《尘埃落定》获得第五届茅盾文学奖。
《瞻对》,《瞻对：一个两百年的康巴传奇》是一部小说，作者是阿来。
《蘑菇圈》,《蘑菇圈》是阿来创作的中篇小说。
《青衣》,《青衣》是毕飞宇的一部中篇小说。小说讲述了女人的故事，月宫中凌云而舞的嫦娥、舞台上光彩照人的青衣和大地上平凡琐碎生活的筱燕秋，它们成为一种女性形象的隐喻包容了世间所有女子的命运，是千百年来女性生存的缩影，展示了以筱燕秋为代表的现代女性进退失据、无所适从的生存困境和她们困兽犹斗、寻求自赎之路的心灵历程。
《平原》,《平原》是毕飞宇苦心经营的一部长篇小说，讲述体现了“60年代生”作家厚重的“文革情结”与“乡土情结”，将故事历史追忆下放到苏北平原一个不起眼的村庄——王家庄。从愣头青变成青年领袖的端方，知青村支书吴蔓玲，为当兵不择手段的混世魔王，为爱情而死的三丫，乡村医生兴隆等等。
《慌乱的指头》,《慌乱的指头》是1995年华艺出版社出版的图书，作者是毕飞宇。
《推拿》,《推拿》是当代作家毕飞宇创作的长篇小说，2008年9月首次出版。
《隐秘盛开》,《隐秘盛开》是当代作家蒋韵创作的长篇小说，首次出版于2005年5月。
《栎树的囚徒》,《栎树的囚徒》是2003年城邦出版社出版的图书，作者是蒋韵。
《红殇》,《红殇》是2002年北岳文艺出版社出版的图书，作者是蒋韵。讲述的是内战时期发生在两位军太太身上的故事。含蓄地表达出历史的更迭对两岸人民造成的伤害，凸显了历史的厚重感。
《欢喜》,《欢喜》是冯唐十七岁作品，青春寻找的故事，结构完整，堪比仲永。读到最后有种莫名的伤感，觉得青春这回事实在是难以捉摸。多年后的回忆，似曾相识的瞬间，恍然明白，一切都是稍纵即逝的追寻，也只有那个年代和年纪，才有真正的欢喜。
《十八岁给我一个姑娘》,《十八岁给我一个姑娘》，冯唐著，整部小说以散文的笔触，讲述了“我”在青春期的躁动中迷恋一个叫做朱裳的姑娘的故事。作者试图通过自己的描写，生动细致地刻画出一个处于青春期的男孩内心里那种熊熊燃烧的感觉。
《万物生长》,《万物生长》是2015年在作家出版社出版的情感、生活小说，作者是冯唐。该小说讲述了一群学医青年如何成长的故事。
《北京北京》,《北京北京》，是冯唐“万物生长三部曲”的第三部，情节与风格都一脉相承。由青春步入成熟，从懵懂收获迷惘，浓重的男性荷尔蒙是冯唐作品一贯最大的特色。
《黑骏马》,《黑骏马》是由译林出版社出版的，作者是安娜·塞维尔。该本书是一部十九世纪下半叶轰动欧洲文坛的经典儿童小说。《黑骏马》在欧美常销不衰，唤醒一代又一代读者去理解所有不会说话的动物。
《北方的河》,《北方的河》是当代作家张承志所创作的一部中篇小说，1984年发表于杂志《十月》第1期。 
《心灵史》,《心灵史》是2014年中信出版社出版的图书，作者是大象公会。
《杨克诗歌集》,杨克能以简单表现繁复，在他冷静的文字背后可以感受到深藏不露的激情。他的诗呈现的是生命中那些最纯粹也最智慧的部分。他在并不自由的物质世界中，不竭地寻求独立而尊严的精神价值。他把心灵的追求看得比什么都重要。从一首首诗里辨认出诗的精灵留下的脚印，而不迷失在具体的事物中。我们惊奇地发现杨克诗的精灵的旅行图。精灵的脚步穿越心物倾轧的边缘，踩出了一圈圈或口语或意象的等高线：从僻远的乡村到都市文明风暴的中心；从旷野到市场；从水与土到火与金的元素。
《神州奇侠》,《神州奇侠》作者是台湾武侠大师温瑞安。由广州花城出版社于1995年出版的图书。书中人物遇事从来都没有扭扭捏捏，他们就是一群江湖人，所作的事情都是意兴所至，真诚磊落，令人大呼痛快。
《四大名捕》,《四大名捕》，是2012年由作家出版社出版的武侠系列小说，作者是温瑞安。主要讲述了朝廷中正义力量诸葛正我的四大弟子各怀绝技，分别是轻功和暗器一流的大师兄“无情”、内力深厚的二师兄“铁手”、腿法闻名的三师兄“追命”和剑法高超的四师弟“冷血”。
《金剑雕翎》,《金剑雕翎》为著名武侠小说家卧龙生的武侠小说，主要讲述了单纯幼稚的萧翎历经坎坷渐渐成熟，为正义、良知而奋斗，终于成为受人尊敬的一代侠客的故事。
《飞燕惊龙》,《飞燕惊龙》是一部武侠小说，作者是卧龙生；小说讲述一个平静的山庄，突然遭到前所未闻的血袭，从此武林道上又掀起血肉的搏杀的故事。
《飞花逐月》,《飞花逐月》是卧龙生编写的一部武侠小说。
《仙鹤神针》,《仙鹤神针》是武侠小说作家卧龙生的封笔之作，主要描写围绕《归元秘笈》的追寻和归属，所展开的一场关系到武林命运的正邪之争。 该书曾先后被翻拍为同名电影和电视剧。
《天剑绝刀》,武功盖世的少林、武当等四派掌门人秘密聚会，竟同时遇害，势单力薄的白鹤门掌门人左监白被认定为凶手，遭到武林各门派的联合围剿，左监白夫妇及白鹤门百余人尽被屠戮。
《小二黑结婚》,《小二黑结婚》是根据赵树理的同名小说改编的豫剧，1953年河南省歌剧团以豫剧形式首演于河南开封。田川、杨兰春根据自己的同名歌剧改写。事见赵树理同名小说。叙抗日战争时期民兵英雄刘二黑，与同村少女子小芹相爱，遭到迷信思想严重的双方父母反对的故事。
《三里湾》,《三里湾》是现代作家赵树理创作的一部长篇小说，1955年初版。
《李有才板话》,《李有才板话》是现代作家赵树理创作的一部中篇小说。1943年发表。小说主要内容为：抗战时期，地主阎恒元把持了敌后根据地阎家山的村政权，村干部贪污盗窃，营私舞弊，欺压群众，却居然骗取了“模范村”荣誉。李有才带领小字辈，以“快板诗”为武器，同他们进行智斗，并取得胜利。作品采用有说有唱、夹叙夹议的板话形式，生动活泼。
《黄金时代》,《黄金时代》是作家王小波创作的中篇小说，是作品系列之“时代三部曲”中的一部作品，该系列入选《亚洲周刊》“二十世纪中文小说一百强”。
《白银时代》,《白银时代》是王小波创作的长篇小说，是作品系列“时代三部曲”中的一本。
《青铜时代》,《青铜时代》是作家王小波创作的长篇小说集，是《时代三部曲》之三。
《黑铁时代》,《黑铁时代》是2009年由陕西师范大学出版社的图书，作者是王小波。作品中几个时代系列分别冠以黑铁、白银、黄金、青铜等。王小波因心脏病突发逝世多年了，近年来他的作品倍受瞩目，不论是小说还是杂文，争议很大，该集中收录有王小波早年未发表的作品。
《沉默的大多数》,《沉默的大多数》是陕西师范大学出版社于2009年7月发行的图书，作者王小波。主要讲述了作者在该作品中倾注了其对中国民众命运的关注，以反讽和幽默的手法直面生活，从一个轻松的角度来解析身边复杂的事态。
《红拂夜奔》,《红拂夜奔》是作家王小波创作的长篇小说，收录于小说集《青铜时代》中。
《万寿寺》,《万寿寺》是作家王小波创作的长篇小说，收录于小说集《青铜时代》中，首次出版于1997年5月。
